team,opponent,location,goals_for,goals_against,result,team_rating,opponent_rating,rating_diff,team_points,opponent_points,points_diff,round,started,finished,cancelled,goals_conceded_per_match,goals_conceded_per_match_opp,interceptions_per_match,interceptions_per_match_opp,shots_on_target_per_match,shots_on_target_per_match_opp,penalties_conceded,penalties_conceded_opp,penalties_won,penalties_won_opp,goals_per_match,goals_per_match_opp,table_rank,table_rank_opp,defensive_pressure_ratio,discipline_gap,attack_efficiency,is_win,last_5_wins,is_draw,is_loss,last_5_draws,last_5_losses,last_5_total,last_5_win_rate
1. FC Köln,VfB Stuttgart,1,0,2,-1,,7.16,,27,73,-46,6,True,True,False,,1.1,,7.9,,6.4,,3.0,,8.0,,2.3,17,2,,,,0,0.0,0,1,0.0,1.0,1.0,0.0
1. FC Köln,Bayer Leverkusen,0,0,3,-1,,7.46,,27,90,-63,7,True,True,False,,0.7,,6.6,,7.1,,,,8.0,,2.6,17,1,,,,0,0.0,0,1,0.0,2.0,2.0,0.0
1. FC Köln,Borussia Mönchengladbach,1,3,1,1,,6.81,,27,34,-7,8,True,True,False,,2.0,,9.8,,4.6,,6.0,,6.0,,1.6,17,14,,,,1,1.0,0,0,0.0,2.0,3.0,0.3333333333333333
1. FC Köln,RB Leipzig,0,0,6,-1,,7.08,,27,65,-38,9,True,True,False,,1.1,,7.1,,6.6,,5.0,,7.0,,2.3,17,4,,,,0,1.0,0,1,0.0,3.0,4.0,0.25
1. FC Köln,Augsburg,1,1,1,0,,,,27,39,-12,10,True,True,False,,,,,,,,,,,,,17,11,,,,0,1.0,1,0,1.0,3.0,5.0,0.2
1. FC Köln,Bochum,0,1,1,0,,,,27,33,-6,11,True,True,False,,,,,,,,,,,,,17,16,,,,0,1.0,1,0,2.0,2.0,5.0,0.2
1. FC Köln,Bayern München,1,0,1,-1,,7.22,,27,72,-45,12,True,True,False,,1.3,,8.5,,7.1,,4.0,,5.0,,2.8,17,3,,,,0,1.0,0,1,2.0,2.0,5.0,0.2
1. FC Köln,Darmstadt,0,1,0,1,,,,27,17,10,13,True,True,False,,,,,,,,,,,,,17,18,,,,1,1.0,0,0,2.0,2.0,5.0,0.2
1. FC Köln,Mainz 05,1,0,0,0,,6.85,,27,35,-8,14,True,True,False,,1.5,,10.2,,4.2,,4.0,,5.0,,1.1,17,13,,,,0,1.0,1,0,3.0,1.0,5.0,0.2
1. FC Köln,Freiburg,0,0,2,-1,,,,27,42,-15,15,True,True,False,,,,,,,,,,,,,17,10,,,,0,1.0,0,1,2.0,2.0,5.0,0.2
1. FC Köln,Union Berlin,0,0,2,-1,,6.67,,27,33,-6,16,True,True,False,,1.7,,9.0,,4.0,,7.0,,6.0,,1.0,17,15,,,,0,1.0,0,1,1.0,3.0,5.0,0.2
1. FC Köln,FC Heidenheim,1,1,1,0,,6.79,,27,42,-15,17,True,True,False,,1.6,,8.9,,3.5,,10.0,,3.0,,1.5,17,8,,,,0,1.0,1,0,2.0,2.0,5.0,0.2
1. FC Köln,Borussia Dortmund,1,0,4,-1,,7.04,,27,63,-36,18,True,True,False,,1.3,,7.4,,5.6,,6.0,,6.0,,2.0,17,5,,,,0,0.0,0,1,2.0,3.0,5.0,0.0
1. FC Köln,Wolfsburg,0,1,1,0,,6.73,,27,37,-10,19,True,True,False,,1.6,,7.9,,4.4,,3.0,,3.0,,1.2,17,12,,,,0,0.0,1,0,2.0,3.0,5.0,0.0
1. FC Köln,Eintracht Frankfurt,1,2,0,1,,6.87,,27,47,-20,20,True,True,False,,1.5,,8.9,,4.3,,11.0,,3.0,,1.5,17,6,,,,1,1.0,0,0,2.0,2.0,5.0,0.2
